Sample Name*	Conc (ng/µL)*	Pool	uL	# Reads	Yield (Mb)	Mean Quality Score	% Bases >= 30	Total Reads/Pool	% of Pool	Coverage	Original %		New %	U/100uL	Ratio	uL/150uL	uL final	U	Number lanes	nM in pool	Vol/Pool	Actual/Proposed	Predicted lanes	Total lanes	Total Coverage
50	2.2	I	2.6	453857031	136157	35.28	90.33		0.184803976544052	31.8	0.1	0.1	0.1	22.1		11.24	13.2	28.77				1.31	0.92	1.10	221
54	1.6	I	3.6	413236636	123971	35.26	90.21		0.168263942982712	28.9	0.2	0.2	0.2	24.4		17.09	20.1	31.84				1.31	0.92	1.09	218
H PITT 1454	2.6	I	2.2	400295786	120089	35.23	90.02		0.162994617233608	28.0	0.1	0.1	0.1	25.3		10.78	12.7	33.09				1.31	0.92	1.08	217
10	0.7	J	8.3	395700135	118710	35	88.96	2380572683	0.16622056441534	27.7	0.2	0.2	0.2	14.1	1.2	37.50	20.5	14.12	4	1.15	100.9	0.99	0.41	0.57	114
23	5.2	J	1.1	595423119	178627	35.13	89.48		0.250117597018566	41.7	0.0	0.0	0.0	9.3		3.30	4.6	23.76		DDW	19.1	2.53	1.03	1.28	257
57	0.4	J	12.9	422934889	126880	35.08	89.26		0.177660985535219	29.6	0.4	0.3	0.3	13.3		54.54	16	7.15				0.53	0.22	0.40	79
76	0.8	J	6.8	198325368	59498	35.13	89.54		0.083309940257766	13.9	0.2	0.4	0.3	28.2		61.31	22	18.60				0.65	0.27	0.35	70
I	2.5	J	2.3	385271037	115581	35.21	89.91		0.161839644616303	27.0	0.1	0.1	0.1	14.4		10.67	14.9	37.00				2.54	1.04	1.20	240
J	1.6	J	3.5	382918135	114875	35.13	89.51		0.160851268156806	26.8	0.1	0.1	0.1	14.6		16.34	22.9	37.66				2.55	1.04	1.20	240
11	1.1	K	5.1	523637390	157091	35.21	90.02	2437765518	0.214802197394934	36.7	0.2	0.1	0.1	11.1	1.1	17.01	22.1	24.73	4	1.15	109.6	2.03	0.88	1.10	219
24	1.4	K	4.2	495971487	148791	35.31	90.5		0.20345331958215	34.7	0.1	0.1	0.1	11.8		14.79	19.2	26.31		DDW	10.4	2.03	0.88	1.08	217
25	2.6	K	2.2	446784373	134035	35.29	90.37		0.183276188665821	31.3	0.1	0.1	0.1	12.8		8.60	11.1	28.44				2.02	0.87	1.06	212
58	0.6	K	9.4	340924246	102277	35.34	90.64		0.139851123285927	23.9	0.3	0.4	0.3	17.2		48.14	19.5	11.98				0.63	0.27	0.41	83
77	0.8	K	6.8	167577255	50273	35.32	90.53		0.068742154962256	11.7	0.2	0.5	0.4	34.9		70.85	22	18.58				0.49	0.21	0.28	56
K	1.8	K	3.2	462870767	138861	35.24	90.12		0.189875016108912	32.4	0.1	0.1	0.1	12.7		12.07	15.7	28.32				2.03	0.88	1.07	214
12	1.2	L	4.7	568584694	170575	35.83	93.44	2751343419	0.206657115238147	39.8	0.1	0.1	0.1	8.9	1.5	16.01	16.5	20.33	3	1.15	91.9	2.48	0.90	1.10	221
13	1.0	L	5.8	464768677	139431	35.82	93.32		0.16892426942796	32.5	0.2	0.2	0.1	10.8		24.17	23	22.80		DDW	-1.90000000000001	2.29	0.83	1.00	200
26	2.3	L	2.5	672501455	201750	35.86	93.42		0.244426577342507	47.1	0.1	0.0	0.0	7.4		7.20	7.4	16.79				2.47	0.90	1.14	228
36	2.9	L	2	530735536	159221	35.87	93.54		0.19290050538035	37.2	0.1	0.0	0.0	9.4		7.30	7.5	21.46				2.47	0.90	1.09	218
59	0.7	L	8.3	317593633	95278	35.93	93.87		0.115432203339935	22.2	0.2	0.3	0.2	15.9		50.62	20.5	14.22				0.97	0.35	0.47	94
80	0.5	L	11.8	197159424	59148	35.89	93.72		0.071659329271102	13.8	0.3	0.8	0.5	25.5		115.92	17	8.28				0.35	0.13	0.20	40
																			48	Total lanes					
