Sample Name*,Conc (ng/µL)*,Pool,uL,# Reads,Yield (Mb),Mean Quality Score,% Bases >= 30,Total Reads/Pool,% of Pool,Coverage,Original %,Unnamed: 12,New %,U/100uL,Ratio,uL/150uL,uL final,U,Number lanes,nM in pool,Vol/Pool,Actual/Proposed,Predicted lanes,Total lanes,Total Coverage,Uploaded to S3
11,1.1,K,5.1,523637390.0,157091.0,35.21,90.02,2437765518.0,0.214802197394934,36.7,0.2,0.1,0.1,11.1,1.1,17.01,22.1,24.73,4.0,1.15,109.6,2.03,0.88,1.1,219.0,True
24,1.4,K,4.2,495971487.0,148791.0,35.31,90.5,,0.20345331958215,34.7,0.1,0.1,0.1,11.8,,14.79,19.2,26.31,,DDW,10.4,2.03,0.88,1.08,217.0,True
25,2.6,K,2.2,446784373.0,134035.0,35.29,90.37,,0.18327618866582104,31.3,0.1,0.1,0.1,12.8,,8.6,11.1,28.44,,,,2.02,0.87,1.06,212.0,True
58,0.6,K,9.4,340924246.0,102277.0,35.34,90.64,,0.139851123285927,23.9,0.3,0.4,0.3,17.2,,48.14,19.5,11.98,,,,0.63,0.27,0.41,83.0,False
77,0.8,K,6.8,167577255.0,50273.0,35.32,90.53,,0.068742154962256,11.7,0.2,0.5,0.4,34.9,,70.85,22.0,18.58,,,,0.49,0.21,0.28,56.0,False
K,1.8,K,3.2,462870767.0,138861.0,35.24,90.12,,0.18987501610891197,32.4,0.1,0.1,0.1,12.7,,12.07,15.7,28.32,,,,2.03,0.88,1.07,214.0,True
12,1.2,L,4.7,568584694.0,170575.0,35.83,93.44,2751343419.0,0.206657115238147,39.8,0.1,0.1,0.1,8.9,1.5,16.01,16.5,20.33,3.0,1.15,91.9,2.48,0.9,1.1,221.0,True
13,1.0,L,5.8,464768677.0,139431.0,35.82,93.32,,0.16892426942796,32.5,0.2,0.2,0.1,10.8,,24.17,23.0,22.8,,DDW,-1.9000000000000101,2.29,0.83,1.0,200.0,True
26,2.3,L,2.5,672501455.0,201750.0,35.86,93.42,,0.24442657734250697,47.1,0.1,0.0,0.0,7.4,,7.2,7.4,16.79,,,,2.47,0.9,1.14,228.0,True
36,2.9,L,2.0,530735536.0,159221.0,35.87,93.54,,0.19290050538035003,37.2,0.1,0.0,0.0,9.4,,7.3,7.5,21.46,,,,2.47,0.9,1.09,218.0,False
59,0.7,L,8.3,317593633.0,95278.0,35.93,93.87,,0.11543220333993501,22.2,0.2,0.3,0.2,15.9,,50.62,20.5,14.22,,,,0.97,0.35,0.47,94.0,False
80,0.5,L,11.8,197159424.0,59148.0,35.89,93.72,,0.07165932927110201,13.8,0.3,0.8,0.5,25.5,,115.92,17.0,8.28,,,,0.35,0.13,0.2,40.0,False
